seller_id,late_frq
0015a82c2db000af6aaaf3ae2ecb0532,0
001cca7ae9ae17fb1caed9dfb1094831,12
001e6ad469a905060d959994f1b41e4f,0
002100f778ceb8431b7a1020ff7ab48f,9
003554e2dce176b5555353e4f3555ac8,0
004c9cd9d87a3c30c522c48c4fc07416,10
00720abe85ba0859807595bbf045a33b,2
00ab3eff1b5192e5f1a63bcecfee11c8,0
00d8b143d12632bad99c0ad66ad52825,0
00ee68308b45bc5e2660cd833c3f81cc,11
00fc707aaaad2d31347cf883cd2dfe10,5
010543a62bd80aa422851e79a3bc7540,0
010da0602d7774602cd1b3f5fb7b709e,0
011b0eaba87386a2ae96a7d32bb531d1,0
01266d4c46afa519678d16a8b683d325,0
013900e863eace745d3ec7614cab5b1a,0
014c0679dd340a0e338872e7ec85666a,2
014d9a685fd57276679edd00e07089e5,0
0176f73cc1195f367f7b32db1e5b3aa8,4
01bcc9d254a0143f0ce9791b960b2a47,0
01c97ebb5cdac52891c0ed1c37ba0012,0
01cf7e3d21494c41fb86034f2e714fa1,2
01ed254b9ff8407dfb9d99ba1e17d923,0
01fd077212124329bac32490e8ef80d9,1
01fdefa7697d26ad920e9e0346d4bd1b,7
0241d4d5d36f10f80c644447315af0bd,11
0249d282d911d23cb8b869ab49c99f53,2
024b564ae893ce8e9bfa02c10a401ece,0
028872bfa080090a9d0abd4f1af168f8,0
02a2272692e13558373c66db98f05e2e,0
02b72cdeb9cfcc429f1af6f4e3f3b737,0
02c988090b766852e088c69d7fb3b551,0
02d35243ea2e497335cd0f076b45675d,4
02dcd3e8e25bee036e32512bcf175493,7
02ecc2a19303f05e59ce133fd923fff7,0
02f5837340d7eb4f653d676c7256523a,1
02f623a8eb246f3c5f7c2f96462654e6,3
0307f7565ff85b299b6e5ef162b1b1a9,0
0336182e1b3e92f029d5354832045fdf,0
034b9387752bfa309f350a70cd45ffa3,0
038b75b729c8a9a04b0d07cba7eabe86,1
039b29ff3b3473435d0cd59040575de9,0
039e6ad9dae79614493083e241147386,1
03a2a6dcbe45d639c4dc2a0d24769c40,1
03bd479e1d9484cdb14104d3023f7321,0
0417b067eeab773d2f7061a726dc477f,3
042573af89b6d931f672efaf789d8358,1
04308b1ee57b6625f47df1d56f00eedf,7
0432ead42b6c8a0bdf68154add917fdf,2
044668ccd5316b12a7cf0d54a156e3e9,0
04843805947f0fc584fc1969b6e50fe7,0
048c2757535328e0d7dac690ad3c0aae,6
04aa0a1c5ce6b222003403a3e11c3cc0,2
04aba03279157f6d4e0fe8ccaf21963c,1
04e38a233f726ef161074ab1c9b0399a,1
04ee0ec01589969663ba5967c0e0bdc0,0
04fdea0c111866e6cf812f1570d6b5bd,1
0509040ea3fe50071181bbc359eb7738,4
052577151711aec5c744fe12e66db3e1,0
054694fa03fe82cec4b7551487331d74,6
056b4ada5bbc2c50cc7842547dda6b51,7
0570350b23eda5444f8d1d9544932058,0
05730013efda596306417c3b09302475,0
058cb5aeb36d7c0fcae20fc85d5e0a59,1
058fd0aa2bfdb2274e05e1ae971dabb6,5
05a48cc8859962767935ab9087417fbb,0
05a940b4ecae36cadfd8e93bd9c43257,0
05aebce0b5c8f0d41b29b686f2d05fd3,0
05ca864204d09595ae591b93ea9cf93d,0
05d2173d43ea568aa0540eba70d2ca76,3
05e107217c7266362fd44b75b2cd4cc4,2
05f51e13da97139648b8125c31e5f51b,9
05feb94f19d094d4b0f9281f0b1d4c99,0
05ff92fedb5be47920fea08e501238b9,2
062c325cd6a2b87845fab56b4ec2eeae,0
062ce95fa2ad4dfaedfc79260130565f,2
06532f10282704ef4c69168b914b77be,0
06579cb253ecd5a3a12a9e6eb6bf8f47,7
066a6914e1ebf3ea95a216c73a986b91,3
0691148aee60ca47977c187804f935ae,2
0692610d8abe24f287e9fae90ea0bbee,1
06a2c3af7b3aee5d69171b0e14f0ee87,78
06bb3a2fe5e7b7a845b13e8fb91bd944,0
06df0c10d34e459d9672bc77388742eb,1
06e5eefc71ec47ae763c5c6f8db7064f,0
07017df32dc5f2f1d2801e579548d620,0
070d165398b553f3b4b851c216b8a358,4
0725b8c0f3f906e58f70cbe76b7c748c,4
0743a0239d764b9a0f959a57d07e36ab,0
0747d5bb69f0586cc869d8af4c50f93e,1
0761743cbffb25d7148189e9f1a5f03a,0
077c5fae4bea9500e3737b16f71b9d3a,0
0791d9fc1e30678ecf03d3e55fa108d3,0
079d295dcbf06ee8bb1b65ba964eb2b6,0
07a9bc7f61396b658ddf3ac534efe44c,0
07bf9669d84d1f11be443a9dd938f698,0
07d75e33f2750d97d467fb57e4dfdd8a,0
07de60b03d150fb3ea09eab5da5e4c8b,1
07e8e8fc5222bb358e6f259da3197074,0
080102cd0a76b09e0dcf55fcacc60e05,5
080199a181c46c657dc5aa235411be3b,1
08061dc0fc165ed41288cc7acde738ee,1
08084d990eb3f53af056ccbc1730c8a7,0
081acf3de680d554796c9cf041be7bc2,1
082e0bf4cb865a6533b1e8e498cc0255,3
085f6f7e049c996695fb2074fe38d45e,0
08633c14ef2db992c11f840f04fad4cd,5
0873d9f8f36123f8d910f4760e788cfb,2
0885aaf116795758dfeb5f1032487bcd,0
0887a9f087bcd5d9f6642b52f897fc6c,1
08ad4ac1388e4420ca531c3edfc46198,0
08cdbae123ff67ca4e36d9d641ce0119,5
08d0949a9a17c027262db1f3c450c26c,0
08d1c9478fb0d7d7fcac9c0da4e82fc7,0
08d2d642cf72b622b14dde1d2f5eb2f5,2
08f5819815f3d06545011850bd70f0a8,0
091065b789659bc3cd9af9cb3a6253ff,0
0936e1837d0c79253456bbb2ffaaef10,0
093805f8f2aeb63881444571e1f48f30,1
094ced053e257ae8cae57205592d6712,0
0951a6e282947e09cd47969f4ed0b47f,0
09883d9ab71c8fe8a9bfc7fc3075b07e,1
099095b050cfe8eb1ddff5317587e96e,3
09bad886111255c5b5030314fc7f1a4a,0
09f952a5f58d2285b0372551ae8f9b01,3
0a198e95d32b1be2da9424c962a6ebfa,0
0a82f5fb06a4fe4ac2cf7cb412ec71b8,0
0a85ebe4e328db81ac9109781205e2f7,1
0aa124728afc1131dff5655f4c6f487b,0
0aa2205ca24f113f4658a5c536667426,0
0ac4201fda2c68ebc0e47cb9423cf3c9,1
0ad80de75c811326389cfb1daba7d45e,0
0adac9fbd9a2b63cccaac4f8756c1ca8,6
0ade5cc4a305ed7093a23f68ca47519c,0
0aea4c6ae1505b3228ddf3dd7822ee5b,2
0af2ab31141893d26aca5a404a537dab,0
0af977692321d895349eded183341d28,0
0afccdb8a34ee5c79f7c06faf2b4d56e,2
0b09101900100c0e9d312861fad5a1b9,0
0b0ddbc7b9d9584f442c7ac92b0ff6c9,0
0b18d63d0cd1d723567903fd34a07df2,0
0b1ca3ef18a63d7eb0c8897fa0849c08,0
0b35c634521043bf4b47e21547b99ab5,9
0b36063d5818f81ccb94b54adfaebbf5,0
0b3f27369a4d8df98f7eb91077e438ac,0
0b46f784306be7200ca1700aa55d819f,0
0b64bcdb0784abc139af04077d49a20e,0
0b90b6df587eb83608a64ea8b390cf07,7
0bae85eb84b9fb3bd773911e89288d54,1
0bb27263628258b8111a0262769fa9db,0
0bb738e4d789e63e2267697c42d35a2d,1
0be8ff43f22e456b4e0371b2245e4d01,11
0bebbb2cea103a4a020c95d43fd7d754,0
0bf0150d5b9d60d9cd2906003332f085,9
0bfd0b434243adc5c2e1aa6baf19c6aa,0
0c7533c71df861ec58ad7ff999ed0e8d,3
0c7f30ae9b147eca07affbef92832a6a,0
0c8380b62e38e8a1e6adbeba7eb9688c,10
0cab2da43793a6f3c5ed8514c5f54627,0
0cbcee27c791afa0cdcb08587a2013a8,4
0d33a55da925bbf1ff02af5f6059fc7f,1
0d4c8269e7f0401201794deef160edd6,0
0d83f8e03188682112cc0d93523705cc,4
0d85bbda9889ce1f7e63778d24f346eb,11
0daf5180aa44356f60f8effa533b55a2,0
0db783cfcd3b73998abc6e10e59a102f,5
0dd184061fb0eaa7ca37932c68ab91c5,17
0ddefe3c7a032b91f4e25b9c3a08fca1,0
0df3984f9dfb3d49ac6366acbd3bbb85,1
0dfbed20065e425d2eaefb101f9816c0,1
0e44d110fa6a54e121cb2c095a77762f,1
0e72c1a751b496722a6cb1f10653b62a,0
0e982cff76cc0579f632cea8a0e38c9d,0
0ea22c1cfbdc755f86b9b54b39c16043,2
0eaa7e33d73809f1f925f7d07c506cbd,0
0ebd97a106433a45a4aebe57c1799778,0
0ec28cec4046a4a199b6de9b4c891d97,0
0ed6ce5d87fd9c69eaacaeb778d67235,6
0ee4fb99ac55ffbbc98795aa01b7f8fa,0
0ef83d7d83ed97cd2a0049ac8be5f88a,1
0f0c984a4a955310903b6b6008660bad,0
0f519b0d2e5eb2227c93dd25038bfc01,0
0f7eea709efdf942b5f95c7516dbacd7,0
0f80a40c312b2472dca482cf50f5186f,0
0f94588695d71662beec8d883ffacf09,0
0fe2d9733ed841eb064503920015a8c0,0
0ff83046c3fa22efee8ecf291888b191,0
0ffa40d54288e4f3499b8780dd0f144f,4
10076e5788b8ee532724bcd460baf762,1
10089e9f2fd0c668a8fd4e52e1698888,0
101921376b577a4540dc30e9009133ca,0
101a3a003516bc11253298b2fad3cb65,0
1025f0e2d44d7041d6cf58b6550e0bfa,95
10264f60a8f0a4d2f30810f5c661c673,0
1099a00e0ee3a50935e6c2447ca090c5,1
10cdd491d1dbea8fb4ead97b19c334ce,0
10ff823eda2b032e2c93d17a7d294736,0
112453736dbe3889cfb74e1aaa0ba0c1,0
1127b7f2594683f2510f1c2c834a486b,7
11305281b50fff20ae8bb473f8e11876,5
113e3a788b935f48aad63e1c41dac1bd,2
116ccb1a1604bc88e4d234a8c23f33de,2
11742f81550ac064cc9a40f67151d9ad,0
117cfc326c6d50da67ca858ff5c0c852,0
11938fcc75f6902fea1d0a6f72b54a57,0
119c7f1a00ef43fad0e57604e76a747c,0
119d1aef1b4144adba89163f6cd9f5d4,0
11bfa66332777660bd0640ee84d47006,16
11d4c477d09821164bca4f70a2eae031,0
11eac105f3f90a9b87b19c89d91e24f3,0
11fb6f6d341adbe19e81733701704635,0
120476eb7a04c149d14772edaf5d9bf2,0
1284de4ae8aa26997e748c851557cf0e,0
128639473a139ac0f3e5f5ade55873a5,24
128f9bfbe4c7d5185033914b1de3d39a,1
12a8eb0f8d1cd3270695bf2a99f55966,0
12b9676b00f60f3b700e83af21824c0e,1
12c2ed9cded6138cf0c75f525f565fc7,1
13074f016982ff2bd6c58ced8682f000,3
131fcb0a0c9a47bba4474aacff0f14b7,0
1336efc61c316ddf92c899eb817f7cae,7
134285d1f41da5c13a756ee8142c8a4e,0
134a288e7de827ec5ec62e3ec9c3a295,0
134b867a0f7f8bbe6abf10f91874891e,0
13511db12ac61e2f89c53b72a944a60b,0
1352e06ae67b410cdae0b2a22361167b,0
1354d51653f645349064725ed204e85e,0
138dbe45fc62f1e244378131a6801526,1
139157dd4daa45c25b0807ffff348363,0
13c2ed7698b3ca92dad49e849219da59,0
13d058e4eeac2ce8217660b2f8a05812,2
13d95f0f6f73943d4ceffad0fc2cd32c,1
13dd308f81fea30cc670c656b2b46cc3,0
13e85aac53340018b40c2af68001b7e0,0
13f57c12a00ed4610db646b913a7f5c6,2
13fa2a6c6b9d0f43cb588d7c82117a12,4
141440cad9341e553f8401c574a2aa38,0
1430239a858e7682bbc43b20758af153,0
1444c08e64d55fb3c25f0f09c07ffcf2,0
1464afc72f696af775557a821c2e253f,1
14a08204d03bb6b6bde8029f801ae0eb,0
14d7985702e72162bbf13b6beb74ab2b,4
14ee35374a7876217954b5fa08e50463,0
14f2b3587172b9db894c9bad8dab520b,0
152ee17e4c8aaf53dac99f3462e4999b,0
154bdf805377afea75a3bd158e9eab10,1
1554a68530182680ad5c8b042c3ab563,16
157c3e4b42f81ac4a44e8b1ca2fe9876,2
1588ac4010787100dddef64568f0ae35,0
15aac934c58d886785ac1b17953ea898,3
15ac3c501e2599e4917316fde5c5669a,0
15aec03fe4cf30dfa574cf550f5ff5ff,0
15b3b1b81484422eb41df68ac87f1f50,0
15cd6eefe58588619aaed41dfa6621b1,0
15ead3a5037a918ddb520dfe39a3d2b9,2
15fa791d5e017f66402dc28c44480657,1
160851d3ece7aa1a510f8d1a4bb8a8af,0
16090f2ca825584b5a147ab24aa30c86,32
160e4f13fd3a64b1b86807be88b5ffb0,0
164a5a8794e6d42e14f55e447b12a3bc,0
165b1235e9e9942cb5fae67103576fb0,1
165fc07beebdcb6190fba8a06db2a449,6
1660ad786c27fd935378b6192a90b417,1
166e8f1381e09651983c38b1f6f91c11,0
